Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;sqrt;
2;200;2;4;0.3;10.0
3;100;10;4;sqrt;
4;200;5;2;0.3;10.0
5;200;2;2;log2;20.0
6;200;10;4;log2;10.0
7;200;5;2;0.3;20.0
8;300;2;2;sqrt;20.0
9;300;10;4;0.3;20.0
10;200;2;2;0.3;20.0
11;300;10;1;log2;10.0
12;200;2;1;sqrt;
13;300;10;2;log2;
14;300;5;2;sqrt;20.0
15;500;5;2;sqrt;20.0
16;300;2;4;log2;
17;300;2;4;log2;20.0
18;100;5;1;log2;
19;500;10;1;log2;10.0
20;200;5;4;log2;
21;500;2;4;0.3;10.0
22;200;2;4;sqrt;10.0
23;500;10;2;0.3;10.0
24;500;2;2;0.3;
25;100;5;4;0.3;20.0
26;200;2;1;sqrt;20.0
27;100;5;2;sqrt;20.0
28;100;10;4;0.3;10.0
29;300;10;4;log2;10.0
30;500;10;1;log2;
