Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;M145;278.5705252302986;405.2510178182024;-126.68049258790381;126.68049258790381
7;M29;331.9815257921282;343.2470092611266;-11.265483468998411;11.265483468998411
8;M180;1727.8277276743472;1970.7282796297527;-242.9005519554055;242.9005519554055
9;M301;1148.9793553052561;974.4035490223936;174.57580628286257;174.57580628286257
14;M250;390.04325086719757;401.2177890628111;-11.174538195613536;11.174538195613536
18;M155;979.5045831424734;754.4500271274391;225.05455601503434;225.05455601503434
20;M154;2007.939995876963;1705.2673309828285;302.6726648941344;302.6726648941344
25;M268;1994.6796745561728;1996.5588966438836;-1.8792220877107866;1.8792220877107866
26;M177;2638.100341109226;1670.6367586302263;967.4635824789998;967.4635824789998
28;M225;1393.6950437569803;1812.923202974565;-419.22815921758456;419.22815921758456
35;M79;3671.043378225449;2424.168047491602;1246.875330733847;1246.875330733847
39;M212;349.6562367181395;332.8988008175365;16.757435900603014;16.757435900603014
44;M251;549.5496169889631;329.12873616358127;220.4208808253818;220.4208808253818
50;M49;250.45977236959845;332.56240069569446;-82.10262832609601;82.10262832609601
57;M48;538.2631616078247;725.0014418906494;-186.7382802828247;186.7382802828247
69;M103;2062.8575536163603;2061.6692316302083;1.1883219861520047;1.1883219861520047
80;M263;1582.414210124311;1045.3628795796246;537.0513305446864;537.0513305446864
85;M258;935.176461915064;694.2513860485788;240.92507586648526;240.92507586648526
86;M38;838.2748149824296;995.073039575976;-156.79822459354648;156.79822459354648
91;M8;1257.1273109707756;1106.9856661292233;150.1416448415523;150.1416448415523
94;M45;427.48646672337856;625.147480048766;-197.6610133253875;197.6610133253875
96;M162;557.8370653648506;823.298862986542;-265.4617976216914;265.4617976216914
101;M278;405.64534584629257;725.0344810603493;-319.38913521405675;319.38913521405675
