Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;1;log2;
2;200;2;4;sqrt;
3;500;10;1;log2;20.0
4;200;2;1;0.3;20.0
5;200;10;2;0.3;20.0
6;100;5;2;log2;
7;500;2;2;0.3;20.0
8;300;2;4;sqrt;10.0
9;200;10;2;log2;20.0
10;300;5;2;0.3;20.0
11;300;5;4;sqrt;20.0
12;500;10;4;sqrt;10.0
13;200;5;4;0.3;
14;500;2;2;0.3;10.0
15;500;5;2;sqrt;10.0
16;100;2;1;sqrt;20.0
17;100;5;1;sqrt;10.0
18;500;5;4;sqrt;10.0
19;300;10;4;log2;20.0
20;300;10;2;0.3;
21;200;5;1;log2;20.0
22;200;5;1;sqrt;10.0
23;500;2;4;sqrt;20.0
24;100;5;1;sqrt;
25;500;5;4;0.3;20.0
26;100;10;1;0.3;
27;100;10;1;log2;10.0
28;100;10;4;log2;
29;100;5;2;0.3;
30;200;5;2;0.3;20.0
