Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;791.9185698650278;627.4498116026815;164.46875826234634
42;M198;482.82208171368285;529.0330250347012;-46.210943321018306
47;M173;246.22398539361228;217.01889786745068;29.205087526161606
49;M170;1423.3864434361828;1542.6040941480635;-119.21765071188065
51;M120;627.6843132408396;1043.7299140204118;-416.04560077957217
55;M25;175.43692030999523;1224.783398561087;-1049.3464782510919
58;M121;239.91885690787623;594.0181632056937;-354.0993062978174
59;M141;233.4974733126343;504.1546702280473;-270.657196915413
60;M285;699.4899097554513;694.6406771772176;4.849232578233682
62;M104;335.6863081434102;549.4263967211723;-213.7400885777621
64;M176;1434.0882980379338;1437.494973059224;-3.4066750212903116
74;M188;979.1233756464366;919.4325345839854;59.69084106245111
76;M209;882.389248219025;824.3372152369631;58.052032982061974
77;M9;905.1365408704706;1063.8242389284087;-158.68769805793806
78;M243;435.6182870099265;694.7753573436709;-259.15707033374434
89;M238;493.25838470239796;652.6105039275619;-159.35211922516396
90;M166;1340.2491151326742;794.9575109438987;545.2916041887755
95;M175;716.9394760789185;707.3594364067179;9.580039672200542
97;M284;700.7896629612028;750.8939994954656;-50.10433653426276
98;M70;2576.1473626105526;2004.3725548646937;571.7748077458589
106;M305;610.7215740405086;704.9748987534299;-94.25332471292131
110;M283;614.8822392555409;682.7877171854914;-67.90547792995051
