Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
14;M262;590.8287965194846;722.0297691796546;-131.20097266017;131.20097266017
17;M120;627.6843024986075;835.8275079760417;-208.1432054774342;208.1432054774342
19;M243;435.6183006911551;869.0659187298251;-433.44761803866993;433.44761803866993
22;M158;373.08815665431246;472.74926911441514;-99.66111246010269;99.66111246010269
23;M162;496.34351381640414;813.0304110897475;-316.6868972733434;316.6868972733434
26;M253;614.1165303952305;579.7605272973266;34.35600309790391;34.35600309790391
36;M10;494.05370747203034;929.0727965069408;-435.01908903491045;435.01908903491045
40;M73;419.6843200962227;377.56786140976;42.11645868646269;42.11645868646269
45;M175;716.9394870598971;704.7712023921545;12.168284667742682;12.168284667742682
57;M164;894.1879863741826;741.3231198362245;152.86486653795816;152.86486653795816
59;M161;771.3047992325145;685.3705104497666;85.9342887827479;85.9342887827479
60;M121;239.91887307623335;315.4555793565444;-75.53670628031102;75.53670628031102
65;M239;310.3604357305522;398.48724832310137;-88.12681259254919;88.12681259254919
73;M290;791.9185552557686;598.3552999188519;193.56325533691677;193.56325533691677
80;M203;215.99661190634222;421.93406733257916;-205.93745542623694;205.93745542623694
85;M182;2089.8746382875433;1708.8522661358775;381.0223721516659;381.0223721516659
88;M145;225.38861459423623;421.02387234748414;-195.6352577532479;195.6352577532479
96;M304;551.2426511665723;618.4765331540945;-67.23388198752218;67.23388198752218
101;M49;184.01820651923518;272.7505118025281;-88.7323052832929;88.7323052832929
105;M178;1997.0798686742519;1825.4511827836834;171.62868589056848;171.62868589056848
110;M306;209.72900171680214;308.5693821816933;-98.84038046489115;98.84038046489115
111;M2;3274.7456604547474;1824.0835155581622;1450.6621448965852;1450.6621448965852
