Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;0.3;10.0
2;300;2;4;0.3;
3;300;10;1;0.3;
4;500;10;4;sqrt;10.0
5;200;2;1;log2;20.0
6;200;10;2;sqrt;20.0
7;100;10;2;0.3;20.0
8;200;5;4;0.3;
9;300;2;4;log2;
10;200;10;4;0.3;10.0
11;300;5;4;sqrt;
12;500;10;1;log2;10.0
13;500;5;4;log2;10.0
14;100;5;4;log2;
15;500;5;4;0.3;
16;300;10;1;sqrt;10.0
17;200;10;4;sqrt;
18;500;5;2;sqrt;20.0
19;500;5;4;sqrt;10.0
20;500;10;2;0.3;20.0
21;200;5;4;log2;20.0
22;100;5;1;0.3;20.0
23;300;2;4;sqrt;
24;500;2;4;sqrt;
25;500;10;4;0.3;20.0
26;100;2;1;0.3;
27;500;2;4;0.3;10.0
28;300;5;4;0.3;20.0
29;100;10;1;sqrt;10.0
30;300;10;2;sqrt;10.0
