Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M165;632.2048549671415;958.1505962816896;-325.94574131454806;325.94574131454806
5;M137;445.5204176584663;567.4180652360816;-121.89764757761532;121.89764757761532
11;M269;496.69120536582307;345.9207157803638;150.77048958545925;150.77048958545925
12;M207;539.5318553427026;681.35577765792;-141.8239223152175;141.8239223152175
13;M10;185.98347241962273;463.21450828700455;-277.2310358673818;277.2310358673818
19;M157;1238.8126409197594;926.0670104728251;312.74563044693423;312.74563044693423
27;M153;119.20500849006423;144.8918116287389;-25.686803138674676;25.686803138674676
37;M247;549.6257220886359;603.1411652243763;-53.515443135740384;53.515443135740384
41;M72;390.06240738466585;757.6048895322571;-367.5424821475912;367.5424821475912
46;M193;393.32994280155793;332.24456283789766;61.08537996366027;61.08537996366027
48;M241;798.0259005712222;754.0338519988115;43.99204857241068;43.99204857241068
54;M260;493.3909861167629;370.48021117608636;122.91077494067656;122.91077494067656
67;M117;178.4500692798988;506.6921538035944;-328.2420845236956;328.2420845236956
70;M306;77.36893354880245;144.25292462102578;-66.88399107222334;66.88399107222334
71;M199;199.99912361395607;165.140426749189;34.85869686476707;34.85869686476707
73;M280;376.03574964173964;349.3623429934039;26.673406648335742;26.673406648335742
81;M18;544.6403578032811;664.091278161367;-119.45092035808591;119.45092035808591
82;M203;107.73921357112572;147.93395781055744;-40.19474423943173;40.19474423943173
84;M192;62.47270481729782;129.5230142837008;-67.05030946640298;67.05030946640298
92;M204;285.6451896864499;168.06081909360125;117.58437059284864;117.58437059284864
99;M100;224.99960005113456;583.8421611872994;-358.8425611361649;358.8425611361649
105;M237;232.31742838714288;405.85552027878475;-173.53809189164187;173.53809189164187
112;M264;1045.1493797348612;831.240259189877;213.90912054498426;213.90912054498426
