Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;0.3;
2;300;10;4;sqrt;10.0
3;100;10;2;log2;10.0
4;200;10;4;sqrt;10.0
5;500;10;2;0.3;10.0
6;200;5;4;sqrt;
7;300;5;2;0.3;20.0
8;200;2;1;log2;20.0
9;100;5;2;sqrt;10.0
10;100;2;1;0.3;
11;100;5;2;sqrt;20.0
12;500;10;2;sqrt;
13;100;10;4;0.3;10.0
14;100;10;2;sqrt;20.0
15;300;10;2;sqrt;20.0
16;100;5;1;log2;10.0
17;300;10;4;0.3;20.0
18;500;2;4;log2;
19;200;10;2;log2;20.0
20;500;5;1;log2;10.0
21;200;10;1;0.3;20.0
22;500;5;1;0.3;
23;100;10;4;log2;20.0
24;500;2;4;log2;10.0
25;200;10;4;log2;10.0
26;200;10;2;0.3;10.0
27;300;10;1;0.3;
28;100;10;4;0.3;
29;100;5;1;0.3;20.0
30;200;2;4;0.3;
