Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M165;1418.7312949671414;1190.1288083481359;228.6024866190055;228.6024866190055
5;M137;1051.8090976584663;839.6803234813134;212.12877417715288;212.12877417715288
11;M269;619.6351653658231;593.2414428500156;26.393722515807553;26.393722515807553
12;M207;981.9810553427025;1061.579320700772;-79.59826535806963;79.59826535806963
13;M10;308.07026241962274;629.5898235707588;-321.51956115113603;321.51956115113603
19;M157;767.0442909197593;768.3721918628397;-1.327900943080408;1.327900943080408
27;M153;118.55397849006422;125.77306861682538;-7.219090126761159;7.219090126761159
37;M247;768.193262088636;780.6425992258952;-12.44933713725925;12.44933713725925
41;M72;1528.925047384666;1024.373120577065;504.5519268076009;504.5519268076009
46;M193;757.8738728015579;450.86890387889287;307.00496892266506;307.00496892266506
48;M241;782.0921005712222;862.2124750583419;-80.12037448711965;80.12037448711965
54;M260;656.8763661167628;594.6740068110364;62.20235930572642;62.20235930572642
67;M117;449.41556927989876;558.9713613421236;-109.55579206222484;109.55579206222484
70;M306;132.36005354880245;231.4312799368975;-99.07122638809506;99.07122638809506
71;M199;277.75452361395605;168.20240002880095;109.5521235851551;109.5521235851551
73;M280;266.14523964173964;472.87910498966323;-206.7338653479236;206.7338653479236
81;M18;1076.5730178032811;785.4191563884954;291.15386141478575;291.15386141478575
82;M203;108.25741357112571;256.0097039124364;-147.7522903413107;147.7522903413107
84;M192;108.41544481729782;136.21323713461194;-27.79779231731412;27.79779231731412
92;M204;407.4620496864499;253.76205532598732;153.6999943604626;153.6999943604626
99;M100;361.03461005113456;738.712764942373;-377.6781548912385;377.6781548912385
105;M237;337.4344083871429;422.8476002448728;-85.41319185772988;85.41319185772988
112;M264;524.8560197348612;747.4259861319115;-222.56996639705028;222.56996639705028
