Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
16;M25;60.31314693921649;358.028318553707;-297.7151716144905;297.7151716144905
20;M100;361.034602390776;655.987659790521;-294.953057399745;294.953057399745
21;M300;427.6343328320695;330.777696720794;96.85663611127552;96.85663611127552
24;M237;337.4344145745269;671.2081042398698;-333.77368966534294;333.77368966534294
31;M10;308.070252127018;459.7418292277514;-151.67157710073337;151.67157710073337
32;M229;217.88329253816886;391.98560437627924;-174.10231183811038;174.10231183811038
33;M258;499.9388976352653;279.20373887225037;220.7351587630149;220.7351587630149
34;M109;672.2452365872678;803.6622581301513;-131.4170215428835;131.4170215428835
36;M153;118.55400198302847;220.97607929751953;-102.42207731449106;102.42207731449106
46;M192;108.41545824547673;226.76169735345582;-118.34623910797909;118.34623910797909
48;M288;377.46350147645796;185.8631513621611;191.60035011429687;191.60035011429687
49;M260;656.8763570721387;626.9885346272296;29.887822444909148;29.887822444909148
50;M180;465.5776547869028;812.7479119602046;-347.1702571733018;347.1702571733018
58;M148;287.10462793248826;321.9478693942068;-34.84324146171855;34.84324146171855
71;M2;1811.1708132437489;977.5590969001271;833.6117163436218;833.6117163436218
72;M274;86.29874693362063;189.26527744999095;-102.96653051637031;102.96653051637031
73;M161;335.1272512736374;311.3957260596387;23.73152521399868;23.73152521399868
80;M255;143.71969956310966;235.51166064823127;-91.79196108512161;91.79196108512161
91;M219;259.77187176000166;252.41099245531026;7.3608793046913945;7.3608793046913945
103;M186;354.04102788021567;205.37030560399407;148.6707222762216;148.6707222762216
104;M173;143.07088453003803;198.17767893330208;-55.10679440326405;55.10679440326405
105;M193;757.8738894106858;387.4767933908377;370.3970960198481;370.3970960198481
