Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;2;0.3;20.0
2;500;2;4;sqrt;
3;100;2;2;sqrt;10.0
4;200;5;2;sqrt;10.0
5;300;10;4;log2;
6;500;5;2;sqrt;10.0
7;300;2;1;sqrt;10.0
8;500;10;1;0.3;20.0
9;500;10;2;sqrt;20.0
10;100;5;2;sqrt;20.0
11;300;10;2;0.3;10.0
12;200;5;4;sqrt;20.0
13;200;5;1;0.3;20.0
14;200;5;1;log2;20.0
15;200;10;4;sqrt;
16;100;2;1;log2;20.0
17;300;10;1;log2;10.0
18;500;10;2;sqrt;
19;300;5;4;log2;
20;300;5;2;log2;
21;300;10;4;0.3;
22;300;10;2;sqrt;
23;500;10;4;sqrt;10.0
24;500;10;1;log2;
25;100;5;1;log2;20.0
26;200;5;1;sqrt;
27;300;10;1;log2;
28;200;5;2;sqrt;20.0
29;500;5;4;log2;10.0
30;100;10;1;sqrt;10.0
