Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;82;619.448819578739;625.2716;-5.822786866573551;5.822786866573551
3;63;895.7466482086943;742.2022;153.54443873603805;153.54443873603805
15;190;543.0842102249837;619.8125;-76.72828977501626;76.72828977501626
21;102;583.4052709255117;543.0104;40.39489494894917;40.39489494894917
22;12;451.925671179027;483.21234;-31.286670129566744;31.286670129566744
24;91;894.5512992421941;709.45544;185.0958549062566;185.0958549062566
30;44;1076.9719178286625;854.56067;222.41124888335003;222.41124888335003
38;101;640.9989905791788;517.0984;123.90060190730378;123.90060190730378
53;83;564.696185206204;647.8433;-83.1471375477023;83.1471375477023
72;6;476.3738084608016;503.31165;-26.937837047010873;26.937837047010873
75;209;565.260446719805;644.2593;-78.99883062394497;78.99883062394497
83;46;318.94180002651444;421.49918;-102.55737599887618;102.55737599887618
87;96;819.7678832716052;591.6332;228.13470456066773;228.13470456066773
88;88;380.9070541160161;453.68958;-72.78252107929637;72.78252107929637
93;214;1204.388014056159;1017.4876;186.90040419287766;186.90040419287766
100;76;434.1030877173587;494.0004;-59.89730901115695;59.89730901115695
103;208;543.6787827747148;576.8884;-33.20964495966018;33.20964495966018
104;66;834.4592091598413;1125.1736;-290.7143748245337;290.7143748245337
107;53;752.701403760071;642.0434;110.65800776397725;110.65800776397725
108;219;895.4670693016682;983.5107;-88.04361185067557;88.04361185067557
114;216;1082.5268068190612;881.9713;200.55549334249872;200.55549334249872
117;212;637.8991745338923;655.4507;-17.55150905985772;17.55150905985772
122;108;866.4222044928255;571.3826;295.0395750982942;295.0395750982942
124;173;680.3095079264583;597.62744;82.68206652020831;82.68206652020831
127;178;827.5117734728407;768.1231;59.38866556268442;59.38866556268442
134;107;400.32439004901227;465.88348;-65.55909383770648;65.55909383770648
