Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
6;M266;0.5129259586304306;0.62617064;-0.11324467659295812;0.11324467659295812
10;M40;0.5811006256004358;0.6075643;-0.02646364489593256;0.02646364489593256
16;M178;0.38147467712470756;0.30674216;0.07473251561233268;0.07473251561233268
17;M253;0.45042737168879665;0.5217388;-0.07131145553974949;0.07131145553974949
23;M183;0.5644870752820469;0.5749934;-0.010506296681454086;0.010506296681454086
29;M246;0.6175652936131009;0.55077976;0.06678553372922025;0.06678553372922025
31;M190;0.2951497829338777;0.3710084;-0.07585861321480392;0.07585861321480392
32;M164;0.4422486227818451;0.44881937;-0.006570746295837371;0.006570746295837371
34;M239;0.3872943228907105;0.45366225;-0.06636792357497251;0.06636792357497251
36;M167;0.48776289156350033;0.6300549;-0.14229199954596622;0.14229199954596622
40;M84;0.4307460686123587;0.5002745;-0.06952841077683197;0.06952841077683197
43;M114;0.4454573435171761;0.5655364;-0.12007903629697186;0.12007903629697186
45;M287;0.3285325147800963;0.28896698;0.03956553122334888;0.03956553122334888
56;M31;0.30828791280119117;0.49048135;-0.18219343404443566;0.18219343404443566
63;M146;0.48577323665025995;0.47604966;0.009723575013907415;0.009723575013907415
65;M232;0.329209325258224;0.49803182;-0.16882249956897022;0.16882249956897022
66;M304;0.5321722624002857;0.55176646;-0.01959419277320673;0.01959419277320673
68;M274;0.6126251353289789;0.5086765;0.10394860639831482;0.10394860639831482
79;M73;0.3879789176077654;0.45870513;-0.07072620963146192;0.07072620963146192
104;M255;0.46117827722730775;0.51517886;-0.05400058200654845;0.05400058200654845
108;M149;0.35090654577812835;0.38355705;-0.03265050564208344;0.03265050564208344
109;M231;0.44574027550390727;0.4847972;-0.03905693399735921;0.03905693399735921
111;M142;0.37034051228784703;0.4342347;-0.06389419625974513;0.06389419625974513
