Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M38;4.90000496714153;4.2363396;0.6636653980497336;0.6636653980497336
10;M25;4.500005425600436;5.689525;-1.189519701810453;1.189519701810453
13;M238;4.949287419622715;5.6280828;-0.678795332605068;0.678795332605068
16;M166;5.793587377124708;4.9288936;0.8646938109931162;0.8646938109931162
23;M207;4.5353326752820475;4.355694;0.17963885814337566;0.17963885814337566
25;M114;8.599994556172755;8.370007;0.22998799489345778;0.22998799489345778
26;M154;5.900001109225897;5.779512;0.12048918066754766;0.12048918066754766
29;M298;4.4540879936131015;4.9344635;-0.480375507363461;0.480375507363461
31;M109;6.399993982933878;6.4287076;-0.02871361670601491;0.02871361670601491
34;M300;6.399989422890711;5.0881524;1.311837014290857;1.311837014290857
43;M204;4.499998843517176;4.6424184;-0.14241954103482612;0.14241954103482612
45;M243;6.099985214780096;5.3456693;0.7543159452183286;0.7543159452183286
48;M280;5.000010571222262;4.911067;0.08894356225009403;0.08894356225009403
52;M234;5.317390149177196;5.7893353;-0.47194510167729575;0.47194510167729575
63;M289;4.599988936650259;5.0997972;-0.4998083121900727;0.4998083121900727
66;M201;4.842859562400285;4.959188;-0.11632842206626748;0.11632842206626748
67;M97;7.099999279898784;5.2736354;1.8263638924781294;1.8263638924781294
68;M73;7.100010035328979;7.0435634;0.05644666939269971;0.05644666939269971
71;M111;7.800003613956055;7.1526623;0.6473413367343754;0.6473413367343754
78;M164;4.2999970099264955;5.6470747;-1.34707768947536;1.34707768947536
79;M18;5.100000917607765;6.368017;-1.268016279047508;1.268016279047508
90;M120;8.000005132674332;7.1144476;0.8855575389853669;0.8855575389853669
97;M168;5.140712961202771;4.742574;0.3981387462674686;0.3981387462674686
114;M79;4.000024632421125;5.1250863;-1.1250616751045097;1.1250616751045097
118;M269;4.7999883132196235;4.265402;0.5345864730096626;0.5345864730096626
125;M148;4.700005868570938;4.1300006;0.5700052772928617;0.5700052772928617
