Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;M145;278.5705252302986;518.28394;-239.71341031657641;239.71341031657641
7;M29;331.9815257921282;384.12796;-52.14643441294993;52.14643441294993
8;M180;1727.8277276743472;2328.2146;-600.3868719350278;600.3868719350278
9;M301;1148.9793553052561;898.2475;250.7318577466624;250.7318577466624
14;M250;390.04325086719757;415.52527;-25.48201768748993;25.48201768748993
18;M155;979.5045831424734;675.9945;303.5100763065359;303.5100763065359
20;M154;2007.939995876963;1848.9949;158.94512283008794;158.94512283008794
25;M268;1994.6796745561728;2179.2737;-184.5940070844522;184.5940070844522
26;M177;2638.100341109226;1763.0378;875.0624993123511;875.0624993123511
28;M225;1393.6950437569803;1584.9032;-191.20815448520716;191.20815448520716
35;M79;3671.043378225449;2500.0708;1170.972577444199;1170.972577444199
39;M212;349.6562367181395;270.9871;78.66914565368637;78.66914565368637
44;M251;549.5496169889631;341.27933;208.27028959638494;208.27028959638494
50;M49;250.45977236959845;279.56775;-29.107976653839046;29.107976653839046
57;M48;538.2631616078247;528.8344;9.428749986730963;9.428749986730963
69;M103;2062.8575536163603;1941.3657;121.49183096011029;121.49183096011029
80;M263;1582.414210124311;1093.8608;488.553370280561;488.553370280561
85;M258;935.176461915064;674.2801;260.89637158303276;260.89637158303276
86;M38;838.2748149824296;734.9199;103.35489310742958;103.35489310742958
91;M8;1257.1273109707756;798.6418;458.4855263028069;458.4855263028069
94;M45;427.48646672337856;551.30817;-123.8216997805277;123.8216997805277
96;M162;557.8370653648506;996.37067;-438.5336011390557;438.5336011390557
101;M278;405.64534584629257;652.09546;-246.45011313808243;246.45011313808243
