"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
4;4;9,71872920081834;9,72785306619676;-0,00912386537842025;0,00912386537842025
7;7;9,92686314743805;10,1801295660335;-0,253266418595453;0,253266418595453
12;14;9,47255332596914;9,81889353713157;-0,346340211162433;0,346340211162433
21;28;10,2348402145517;10,2169099614232;0,0179302531284744;0,0179302531284744
29;41;9,64768701952316;9,91242030143646;-0,264733281913303;0,264733281913303
33;45;9,22127459060199;9,08056767425293;0,14070691634906;0,14070691634906
34;46;9,48606949315678;9,07515071104783;0,410918782108951;0,410918782108951
39;51;7,83410022380935;7,58980546256176;0,244294761247587;0,244294761247587
40;52;9,78146382330274;9,55481604970339;0,22664777359935;0,22664777359935
42;55;8,14876584523446;8,02255878436394;0,126207060870515;0,126207060870515
53;68;8,28091511868535;8,743341312822;-0,462426194136654;0,462426194136654
74;94;9,44544830950489;9,21246781976213;0,232980489742763;0,232980489742763
77;97;10,028674435746;9,89387336408251;0,134801071663492;0,134801071663492
78;98;9,71026228211981;9,78056324381364;-0,0703009616938264;0,0703009616938264
81;102;11,0115163314433;10,4618192802056;0,54969705123767;0,54969705123767
85;108;11,3588300538717;11,3226508317175;0,036179222154221;0,036179222154221
88;112;7,02636102618109;7,30538369295013;-0,27902266676904;0,27902266676904
93;117;9,7730027706963;9,31204283807005;0,460959932626247;0,460959932626247
101;178;10,2480429848899;10,1874654663206;0,0605775185693211;0,0605775185693211
107;184;9,39448258972998;9,31161614814369;0,0828664415862868;0,0828664415862868
115;196;11,6756113146525;11,9554520516739;-0,279840737021408;0,279840737021408
117;198;10,4878974889188;10,8230487586637;-0,335151269744904;0,335151269744904
118;199;11,7235749472399;11,8561378047641;-0,132562857524228;0,132562857524228
123;205;10,3738185105128;10,7886388856502;-0,414820375137355;0,414820375137355
128;213;10,9097517035639;11,1423756673332;-0,232623963769322;0,232623963769322
129;215;10,6699856160301;10,2820614788368;0,387924137193348;0,387924137193348
133;220;9,539228108588;8,88502469227656;0,654203416311438;0,654203416311438
