"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
4;4;75,9127839532291;64,408024155055;11,504759798174;11,504759798174
7;7;44,4826562446032;56,2258297002859;-11,7431734556827;11,7431734556827
12;14;117,918735194362;158,885464997482;-40,9667298031202;40,9667298031202
21;28;31,599606824626;45,6526840486313;-14,0530772240053;14,0530772240053
29;41;75,2798925825477;107,146985290459;-31,8670927079116;31,8670927079116
31;43;94,893497582084;85,1770128146584;9,71648476742564;9,71648476742564
33;45;82,5235519775145;71,0946501791557;11,4289017983588;11,4289017983588
34;46;30,5486784609092;46,0701632290768;-15,5214847681676;15,5214847681676
35;47;124,164599680588;102,508751334277;21,6558483463111;21,6558483463111
39;51;64,4437153869115;62,6094718253403;1,83424356157122;1,83424356157122
53;68;118,594478150063;177,497578374956;-58,9031002248925;58,9031002248925
56;72;28,9797654429334;58,2698809230489;-29,2901154801155;29,2901154801155
74;94;29,0065360556683;50,6351968859228;-21,6286608302545;21,6286608302545
75;95;34,0451548297818;52,982448062068;-18,9372932322862;18,9372932322862
77;97;81,9600084884564;53,3602306262555;28,5997778622009;28,5997778622009
83;105;80,7361026955112;60,3708770286221;20,3652256668891;20,3652256668891
85;108;45,6627519499286;58,8530464775995;-13,1902945276709;13,1902945276709
86;109;36,4408714191749;51,4937895350897;-15,0529181159148;15,0529181159148
92;116;30,9358923867767;39,2407090062106;-8,30481661943392;8,30481661943392
101;178;66,9559174633226;93,2735945172983;-26,3176770539757;26,3176770539757
107;184;65,9181516278166;77,272597087255;-11,3544454594384;11,3544454594384
108;185;55,8746731271564;80,7679165576167;-24,8932434304603;24,8932434304603
110;187;102,917196120463;86,6781592317239;16,2390368887391;16,2390368887391
121;204;84,7093421376896;90,6115227470564;-5,90218060936684;5,90218060936684
126;209;57,575090279976;58,2538122563272;-0,678721976351206;0,678721976351206
128;212;73,9278075704604;77,8196329482219;-3,89182537776146;3,89182537776146
130;216;85,1416508551129;77,8117310794508;7,32991977566211;7,32991977566211
