"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
4;4;1431,93785973272;898,16379903509;533,77406069763;533,77406069763
5;5;1164,28473453925;784,872976145195;379,411758394055;379,411758394055
6;6;1417,44700186918;976,679948564932;440,767053304248;440,767053304248
11;12;621,870503727424;1089,50403641152;-467,633532684092;467,633532684092
20;27;557,400311149702;890,215816755564;-332,815505605862;332,815505605862
28;40;1189,60352182955;1090,24989598769;99,3536258418642;99,3536258418642
32;44;997,078494762088;619,89110357482;377,187391187268;377,187391187268
33;45;150,309609839243;923,3542924776;-773,044682638357;773,044682638357
38;50;588,659962675689;582,133914919134;6,5260477565555;6,5260477565555
39;51;718,512357986378;699,863529551218;18,6488284351603;18,6488284351603
41;53;794,498222741331;1117,27183293285;-322,773610191519;322,773610191519
52;67;397,80280385777;780,524335212748;-382,721531354978;382,721531354978
73;94;548,82248756609;762,552232226326;-213,729744660236;213,729744660236
76;97;870,413023575262;831,719576356116;38,6934472191462;38,6934472191462
77;98;423,822748781159;662,029537126062;-238,206788344903;238,206788344903
84;112;503,895347672608;857,10725457065;-353,211906898042;353,211906898042
87;116;545,012743594412;636,705083402229;-91,6923398078173;91,6923398078173
92;173;794,113382809223;1069,66193611794;-275,548553308715;275,548553308715
100;181;947,323204316799;905,047971716754;42,2752326000453;42,2752326000453
106;187;933,006805788903;596,239030009706;336,767775779197;336,767775779197
114;198;650,972788698156;707,717936689221;-56,7451479910654;56,7451479910654
116;200;770,439539531669;863,818636180324;-93,3790966486547;93,3790966486547
117;201;862,352409302323;781,46274195746;80,8896673448631;80,8896673448631
122;208;606,05472547882;588,638167027452;17,4165584513678;17,4165584513678
127;215;730,460710945942;704,648695145044;25,8120158008977;25,8120158008977
128;216;676,498335104448;561,895646455519;114,602688648929;114,602688648929
132;221;161,349538866664;445,037122431602;-283,687583564938;283,687583564938
