"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
3;"M103";1,1056788;0,842033216496467;0,263645583503533;0,263645583503533
4;"M104";1,2541993;1,21776031399611;0,0364389860038901;0,0364389860038901
6;"M117";0,3970714;0,940383754289131;-0,543312354289131;0,543312354289131
15;"M149";0,5406061;0,79442060173006;-0,25381450173006;0,25381450173006
22;"M162";1,0035468;1,27182041161224;-0,268273611612242;0,268273611612242
29;"M174";0,5084365;0,69804282815779;-0,18960632815779;0,18960632815779
31;"M176";0,7966862;1,27462685333021;-0,477940653330212;0,477940653330212
40;"M192";0,5762343;1,08782394563376;-0,511589645633757;0,511589645633757
46;"M201";0,2996005;0,654062498865714;-0,354461998865714;0,354461998865714
50;"M209";1,1790672;1,27384685944688;-0,0947796594468833;0,0947796594468833
51;"M212";0,5313153;0,346396231468937;0,184919068531063;0,184919068531063
57;"M232";0,4907601;1,19325082945797;-0,702490729457969;0,702490729457969
63;"M246";1,6148662;1,30354224999869;0,311323950001314;0,311323950001314
65;"M25";1,9087676;1,11667810618175;0,792089493818249;0,792089493818249
85;"M283";0,8610692;1,0234970643443;-0,162427864344298;0,162427864344298
93;"M298";1,1746114;1,10068299556453;0,0739284044354662;0,0739284044354662
94;"M301";0,4194728;0,596758460135095;-0,177285660135095;0,177285660135095
99;"M38";0,8478427;0,899469129330802;-0,0516264293308019;0,0516264293308019
103;"M49";0,8832221;1,0891185341838;-0,205896434183797;0,205896434183797
106;"M73";0,6339283;1,14708544488949;-0,513157144889488;0,513157144889488
111;"M9";1,5170144;1,25286940310542;0,264144996894578;0,264144996894578
112;"M91";0,4559877;1,07144039305078;-0,615452693050778;0,615452693050778
