"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
1;"M10";0,6235562;0,516090994080039;0,107465205919961;0,107465205919961
5;"M114";0,5545415;0,521200458394995;0,0333410416050051;0,0333410416050051
10;"M141";0,4664398;0,423225551300328;0,0432142486996723;0,0432142486996723
13;"M145";0,5590548;0,522922199731631;0,0361326002683686;0,0361326002683686
23;"M164";0,5577699;0,606185513372683;-0,0484156133726829;0,0484156133726829
24;"M165";0,6917482;0,550892023240176;0,140856176759824;0,140856176759824
28;"M173";0,5810598;0,611054693139725;-0,0299948931397253;0,0299948931397253
38;"M188";0,5138198;0,520814074443863;-0,00699427444386258;0,00699427444386258
39;"M190";0,7048442;0,685220596985726;0,0196236030142741;0,0196236030142741
55;"M229";0,6401933;0,533254818098213;0,106938481901787;0,106938481901787
56;"M231";0,5542623;0,549999004374237;0,00426329562576344;0,00426329562576344
59;"M238";0,6228113;0,517343380851114;0,105467919148886;0,105467919148886
60;"M239";0,6126951;0,562496071662909;0,0501990283370909;0,0501990283370909
62;"M243";0,5684149;0,484874114436278;0,0835407855637215;0,0835407855637215
66;"M250";0,6788753;0,625081601353191;0,0537936986468092;0,0537936986468092
76;"M268";0,4841441;0,500197012047346;-0,016052912047346;0,016052912047346
79;"M272";0,4954016;0,589448228189228;-0,0940466281892285;0,0940466281892285
80;"M274";0,3873849;0,508365780022722;-0,120980880022722;0,120980880022722
84;"M282";0,6487045;0,630260436441822;0,0184440635581784;0,0184440635581784
97;"M306";0,6311004;0,758289992795933;-0,127189592795933;0,127189592795933
101;"M45";0,3326869;0,454304844421407;-0,121617944421407;0,121617944421407
109;"M84";0,5692559;0,539404001790586;0,029851898209414;0,029851898209414
