"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;"M100";586,03421;1842,46876593723;-1256,43455593723;1256,43455593723
11;"M142";67,64892;745,997303344637;-678,348383344637;678,348383344637
16;"M150";789,31811;807,765991775792;-18,4478817757923;18,4478817757923
18;"M154";1838,52794;1271,51831665085;567,009623349148;567,009623349148
21;"M161";771,30481;558,040345704876;213,264464295124;213,264464295124
41;"M193";1151,20383;1440,19541416096;-288,991584160958;288,991584160958
43;"M197";299,38263;774,621334218864;-475,238704218864;475,238704218864
47;"M203";215,99662;397,035621926742;-181,039001926742;181,039001926742
48;"M204";693,10721;533,781410741968;159,325799258032;159,325799258032
49;"M207";1521,51292;1911,14056474498;-389,627644744979;389,627644744979
64;"M247";1317,81898;1487,83981346287;-170,020833462871;170,020833462871
67;"M251";504,5575;505,512002467668;-0,954502467668021;0,954502467668021
72;"M262";590,82879;417,31442341062;173,51436658938;173,51436658938
74;"M264";1570,0054;1345,49895537945;224,506444620551;224,506444620551
75;"M266";1731,26887;1500,58432370904;230,684546290961;230,684546290961
78;"M271";501,40271;362,577877345459;138,824832654541;138,824832654541
82;"M278";356,74362;579,916144272992;-223,172524272992;223,172524272992
86;"M284";700,78966;1134,2961823883;-433,506522388297;433,506522388297
89;"M29";260,06377;-39,8708391192758;299,934609119276;299,934609119276
91;"M294";671,70584;611,68078104416;60,0250589558397;60,0250589558397
95;"M304";551,24265;459,987387767362;91,2552622326383;91,2552622326383
96;"M305";610,72157;884,770629701906;-274,049059701906;274,049059701906
113;"M97";347,76887;1689,11695138962;-1341,34808138962;1341,34808138962
