"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;"M100";0,4;0,359200460489348;0,0407995395106525;0,0407995395106525
3;"M103";0,4;0,43517163391147;-0,03517163391147;0,03517163391147
5;"M109";0,4;0,487801873468577;-0,0878018734685768;0,0878018734685768
8;"M117";0,5;0,421268884877858;0,0787311151221421;0,0787311151221421
15;"M148";0,3;0,316962405010689;-0,016962405010689;0,016962405010689
16;"M149";0,3;0,349628187658142;-0,0496281876581422;0,0496281876581422
25;"M164";0,2;0,395093486835065;-0,195093486835065;0,195093486835065
26;"M165";0,3508038;0,397193912925625;-0,0463901129256248;0,0463901129256248
35;"M177";0,3;0,346578917354894;-0,0465789173548936;0,0465789173548936
37;"M18";0,4;0,501082934370721;-0,101082934370721;0,101082934370721
44;"M193";0,4;0,360398773376275;0,0396012266237251;0,0396012266237251
47;"M199";0,4880453;0,384818018121452;0,103227281878548;0,103227281878548
57;"M219";0,7;0,374950942422719;0,325049057577281;0,325049057577281
58;"M220";0,4;0,386070625607688;0,0139293743923117;0,0139293743923117
59;"M223";0,5;0,412563601932601;0,0874363980673992;0,0874363980673992
64;"M232";0,5;0,422218043867153;0,0777819561328468;0,0777819561328468
69;"M239";0,4556419;0,453184208954167;0,00245769104583332;0,00245769104583332
74;"M248";0,3;0,449443075892958;-0,149443075892958;0,149443075892958
75;"M25";0,3;0,413781664186758;-0,113781664186758;0,113781664186758
77;"M251";0,5;0,352932252944363;0,147067747055637;0,147067747055637
97;"M289";0,1;0,369848654803342;-0,269848654803342;0,269848654803342
100;"M291";0,3632504;0,378090623208298;-0,0148402232082984;0,0148402232082984
112;"M40";0,4;0,405708289735958;-0,00570828973595749;0,00570828973595749
113;"M45";0,4;0,394872578801722;0,00512742119827764;0,00512742119827764
123;"M81";0,3;0,418132580390209;-0,118132580390209;0,118132580390209
126;"M9";0,4;0,465843341077925;-0,0658433410779248;0,0658433410779248
