"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
5;"M104";31;31,8383716930608;-0,838371693060807;0,838371693060807
7;"M106";21;23,8844794350682;-2,8844794350682;2,8844794350682
25;"M124";16;14,1939021269821;1,80609787301792;1,80609787301792
26;"M125";35;34,8664397341974;0,133560265802629;0,133560265802629
34;"M133";26;24,2702589035047;1,72974109649532;1,72974109649532
37;"M136";36;35,8255970150332;0,174402984966761;0,174402984966761
42;"M142";26;32,0311929398185;-6,03119293981847;6,03119293981847
45;"M145";36;41,7428364621656;-5,74283646216556;5,74283646216556
51;"M150";27;31,13387869066;-4,13387869066005;4,13387869066005
54;"M154";32;26,6875488741295;5,31245112587045;5,31245112587045
61;"M160";27;29,3194629439188;-2,31946294391878;2,31946294391878
65;"M164";37;34,3632843797919;2,63671562020807;2,63671562020807
66;"M166";33;27,8431969143596;5,15680308564038;5,15680308564038
84;"M182";34;37,2778147845951;-3,27781478459513;3,27781478459513
86;"M184";56;51,1956050482278;4,80439495177218;4,80439495177218
92;"M19";30;27,887838678214;2,11216132178603;2,11216132178603
94;"M192";28;28,9869363830435;-0,986936383043499;0,986936383043499
96;"M194";29;32,5026749193547;-3,50267491935466;3,50267491935466
97;"M195";34;30,1277526370376;3,87224736296243;3,87224736296243
101;"M20";25;22,5463317862142;2,45366821378582;2,45366821378582
102;"M200";26;24,6052706861934;1,39472931380662;1,39472931380662
103;"M201";37;35,7479380820383;1,25206191796166;1,25206191796166
107;"M207";38;41,0834153232488;-3,0834153232488;3,0834153232488
117;"M217";25;24,9460924140228;0,0539075859771572;0,0539075859771572
121;"M220";23;25,2408465957084;-2,24084659570845;2,24084659570845
122;"M221";43;31,5838132903017;11,4161867096983;11,4161867096983
133;"M233";24;29,4386197707685;-5,43861977076845;5,43861977076845
134;"M234";24;23,7332026973275;0,266797302672458;0,266797302672458
135;"M235";20;22,1264845555798;-2,12648455557981;2,12648455557981
137;"M237";23;24,6256315550268;-1,62563155502684;1,62563155502684
138;"M239";23;28,5437849032519;-5,54378490325189;5,54378490325189
140;"M241";31;35,0812975841255;-4,08129758412551;4,08129758412551
141;"M242";33;35,3861354200267;-2,38613542002671;2,38613542002671
143;"M244";46;41,7613757547606;4,23862424523939;4,23862424523939
148;"M249";18;17,6606478009976;0,339352199002406;0,339352199002406
155;"M256";23;31,1565989166688;-8,1565989166688;8,1565989166688
157;"M258";38;31,5204513364324;6,47954866356759;6,47954866356759
158;"M26";21;15,614769207106;5,38523079289401;5,38523079289401
165;"M267";23;25,2060699539456;-2,20606995394556;2,20606995394556
171;"M272";20;22,2800766725274;-2,28007667252743;2,28007667252743
191;"M292";23;31,2078644967418;-8,20786449674176;8,20786449674176
196;"M297";21;25,2152035748706;-4,21520357487061;4,21520357487061
204;"M304";24;23,354791586907;0,645208413093044;0,645208413093044
206;"M306";39;29,6364325219341;9,36356747806586;9,36356747806586
211;"M36";25;29,0616969821001;-4,06169698210009;4,06169698210009
213;"M38";14;19,6056346441035;-5,6056346441035;5,6056346441035
214;"M39";23;26,9137944599041;-3,91379445990407;3,91379445990407
218;"M42";24;24,4505761102379;-0,450576110237861;0,450576110237861
224;"M49";18;22,3711317444772;-4,37113174447717;4,37113174447717
227;"M52";22;16,0660848113198;5,93391518868016;5,93391518868016
230;"M55";31;31,1507989629367;-0,150798962936747;0,150798962936747
235;"M6";22;24,1246615443736;-2,12466154437359;2,12466154437359
245;"M7";37;37,0617865149883;-0,0617865149883343;0,0617865149883343
252;"M76";26;30,8178628881457;-4,81786288814568;4,81786288814568
273;"M96";25;27,34329531218;-2,34329531217996;2,34329531217996
275;"M98";27;27,2263237453943;-0,226323745394282;0,226323745394282
