"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
3;"M103";0,4749062;0,518079439702429;-0,0431732397024293;0,0431732397024293
4;"M104";0,4436165;0,601293301487107;-0,157676801487107;0,157676801487107
6;"M117";0,715783;0,57479491574368;0,14098808425632;0,14098808425632
15;"M149";0,6490952;0,59970065437963;0,0493945456203704;0,0493945456203704
22;"M162";0,4991149;0,461633813035014;0,0374810869649863;0,0374810869649863
29;"M174";0,6629381;0,649265889779424;0,0136722102205755;0,0136722102205755
31;"M176";0,5565802;0,587156423337965;-0,0305762233379646;0,0305762233379646
40;"M192";0,6344234;0,59997359596901;0,0344498040309903;0,0344498040309903
46;"M201";0,7694672;0,586209186284802;0,183258013715198;0,183258013715198
50;"M209";0,458912;0,492255161550074;-0,0333431615500739;0,0333431615500739
51;"M212";0,6530334;0,580548049252304;0,0724853507476962;0,0724853507476962
57;"M232";0,6707988;0,60882907224904;0,06196972775096;0,06196972775096
63;"M246";0,3824287;0,406097131810218;-0,0236684318102184;0,0236684318102184
65;"M25";0,3437882;0,508950299487372;-0,165162099487372;0,165162099487372
85;"M283";0,5373255;0,466388083264619;0,0709374167353815;0,0709374167353815
93;"M298";0,4598523;0,528673244997139;-0,0688209449971392;0,0688209449971392
94;"M301";0,7044869;0,62838558025219;0,0761013197478101;0,0761013197478101
99;"M38";0,5411716;0,621862786705367;-0,0806911867053673;0,0806911867053673
103;"M49";0,5310048;0,495818369623058;0,0351864303769418;0,0351864303769418
106;"M73";0,612022;0,656729541757188;-0,0447075417571881;0,0447075417571881
111;"M9";0,3972961;0,536981987018996;-0,139685887018996;0,139685887018996
112;"M91";0,686819;0,663717137552834;0,0231018624471655;0,0231018624471655
