"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
8;8;288,431412994482;338,528223859711;-50,0968108652294;50,0968108652294
14;18;416,229907492012;275,920011232126;140,309896259886;140,309896259886
16;22;397,048160407187;286,747690845273;110,300469561914;110,300469561914
18;24;394,678995368636;269,73930055353;124,939694815106;124,939694815106
21;28;342,212739951257;257,270300421132;84,9424395301252;84,9424395301252
22;29;348,469921970623;229,80231513842;118,667606832203;118,667606832203
30;42;280,469962590475;257,013427052719;23,456535537756;23,456535537756
34;46;327,913568442647;273,875703075727;54,0378653669204;54,0378653669204
43;56;274,582456051413;288,404278106814;-13,8218220554015;13,8218220554015
50;65;139,936229373197;259,44110035262;-119,504870979423;119,504870979423
54;70;222,472350716336;242,128523794526;-19,6561730781898;19,6561730781898
55;71;214,493818724385;285,303630322506;-70,8098115981208;70,8098115981208
65;84;333,871569074892;288,496646539703;45,3749225351893;45,3749225351893
70;91;692,594804902267;278,565983217515;414,028821684752;414,028821684752
80;102;478,540968059805;391,234415402069;87,3065526577356;87,3065526577356
85;113;304,070400814142;349,110708052487;-45,0403072383446;45,0403072383446
94;175;399,654465527856;357,740985810348;41,9134797175084;41,9134797175084
95;176;388,218391499935;286,377386191945;101,84100530799;101,84100530799
101;182;281,82850367243;367,112424742382;-85,2839210699516;85,2839210699516
102;183;245,735275541863;347,729102915759;-101,993827373896;101,993827373896
103;184;271,67265361872;344,755765077999;-73,0831114592795;73,0831114592795
104;185;300,607062767154;254,258262573396;46,3488001937583;46,3488001937583
105;186;263,513177612795;314,401570719389;-50,8883931065936;50,8883931065936
112;196;252,374693751749;242,956423109628;9,41827064212086;9,41827064212086
113;197;250,517699427213;252,988071740997;-2,47037231378437;2,47037231378437
118;204;232,666859130858;266,526686352515;-33,859827221657;33,859827221657
121;207;360,019101725689;258,585795516802;101,433306208887;101,433306208887
