"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;2;1034,92369245868;837,606867652781;197,316824805899;197,316824805899
9;9;598,027048137834;463,710486200363;134,316561937471;134,316561937471
12;14;977,535384355878;795,132215947127;182,403168408751;182,403168408751
13;15;1155,70555975544;714,12755669005;441,57800306539;441,57800306539
23;35;788,769121894642;710,410830770511;78,3582911241306;78,3582911241306
25;37;939,237122798457;834,348199773166;104,888923025291;104,888923025291
35;47;713,717775685008;619,178112190853;94,5396634941548;94,5396634941548
37;49;324,446835856045;762,756803793781;-438,309967937736;438,309967937736
47;62;579,263003946597;617,127224825934;-37,8642208793366;37,8642208793366
57;74;615,317692361294;597,355513866285;17,9621784950085;17,9621784950085
58;75;572,73549897184;654,617005726121;-81,8815067542813;81,8815067542813
61;79;555,387184122892;449,507002877021;105,880181245871;105,880181245871
64;83;529,225785672151;613,175561224854;-83,9497755527034;83,9497755527034
69;89;597,185728843887;748,136124145726;-150,950395301839;150,950395301839
71;92;631,503713949463;700,832235767121;-69,3285218176579;69,3285218176579
72;93;735,701160879619;782,272268929676;-46,5711080500571;46,5711080500571
75;96;1219,32066521726;930,070438047522;289,250227169738;289,250227169738
86;114;514,981486400907;910,577638782736;-395,596152381829;395,596152381829
89;170;617,776737066978;600,507650898855;17,2690861681225;17,2690861681225
98;179;667,109624474793;558,124831450182;108,984793024611;108,984793024611
107;188;708,504209873946;764,710214965777;-56,2060050918311;56,2060050918311
109;192;673,097549847129;645,129468670967;27,9680811761624;27,9680811761624
115;199;507,490107683816;837,014711197158;-329,524603513342;329,524603513342
120;206;361,014158832729;406,776136781353;-45,7619779486245;45,7619779486245
124;210;195,75824112645;460,298023003842;-264,539781877392;264,539781877392
130;219;296,57216261537;445,339398861395;-148,767236246025;148,767236246025
