"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
6;"M111";0,2;0,19177142348993;0,00822857651006978;0,00822857651006978
19;"M152";0,7135752;0,752823125862858;-0,0392479258628585;0,0392479258628585
21;"M154";0,6;0,820419350406754;-0,220419350406754;0,220419350406754
31;"M172";1;0,860190878521384;0,139809121478616;0,139809121478616
36;"M178";0,7;0,879836311316157;-0,179836311316157;0,179836311316157
40;"M183";0,5;0,676451340117537;-0,176451340117537;0,176451340117537
41;"M186";0,9358698;0,796853494895858;0,139016305104142;0,139016305104142
42;"M190";0,4;0,676956345007706;-0,276956345007706;0,276956345007706
48;"M2";0,2;0,400953410622431;-0,200953410622431;0,200953410622431
60;"M224";0,6;0,884959334639025;-0,284959334639025;0,284959334639025
61;"M225";0,2;0,431668796319313;-0,231668796319313;0,231668796319313
73;"M247";0,6;0,775159790220076;-0,175159790220076;0,175159790220076
80;"M260";0,8;0,566260774771286;0,233739225228714;0,233739225228714
83;"M269";1;1,28100096952851;-0,281000969528506;0,281000969528506
87;"M276";0,3;0,429506125032627;-0,129506125032627;0,129506125032627
93;"M285";0,5;1,00257280251674;-0,502572802516744;0,502572802516744
95;"M287";1,4654611;1,25996889029929;0,205492209700705;0,205492209700705
99;"M290";1,1;0,899107125250214;0,200892874749786;0,200892874749786
104;"M300";0,8;0,70341532338784;0,0965846766121604;0,0965846766121604
105;"M303";1,0904151;0,795109650729794;0,295305449270206;0,295305449270206
110;"M35";1,9;0,93172968539572;0,96827031460428;0,96827031460428
115;"M48";1,2;0,762055939824065;0,437944060175935;0,437944060175935
116;"M6";0,3;0,516237617199132;-0,216237617199132;0,216237617199132
117;"M69";0,9;0,826423370237828;0,0735766297621717;0,0735766297621717
122;"M79";0,6;0,777124261651044;-0,177124261651044;0,177124261651044
128;"M96";0,4;0,511552726127766;-0,111552726127766;0,111552726127766
