"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;"M100";1,3;1,23181960744352;0,0681803925564803;0,0681803925564803
3;"M103";1,1;0,974352635648107;0,125647364351893;0,125647364351893
5;"M109";0,6;0,653418065828701;-0,0534180658287008;0,0534180658287008
8;"M117";0,6;1,0022758210308;-0,4022758210308;0,4022758210308
15;"M148";1,6;1,45854810654688;0,141451893453119;0,141451893453119
16;"M149";1,9;1,32716951662792;0,572830483372078;0,572830483372078
25;"M164";2,4;1,16445278220619;1,23554721779381;1,23554721779381
26;"M165";0,7014357;1,41503487655639;-0,713599176556393;0,713599176556393
35;"M177";1,9;1,4189021087114;0,481097891288595;0,481097891288595
37;"M18";1,6;0,602563110801936;0,997436889198064;0,997436889198064
44;"M193";1,8;1,39893272869838;0,401067271301615;0,401067271301615
47;"M199";0,4507685;1,26377713189036;-0,813008631890364;0,813008631890364
57;"M219";1,9;1,12831685542627;0,771683144573732;0,771683144573732
58;"M220";1,7;1,0953969345869;0,604603065413097;0,604603065413097
59;"M223";1,3;1,03410286570222;0,265897134297777;0,265897134297777
64;"M232";1,1;0,876634682006525;0,223365317993475;0,223365317993475
69;"M239";0,3902222;0,782675719808314;-0,392453519808314;0,392453519808314
74;"M248";1,9;0,856864694153583;1,04313530584642;1,04313530584642
75;"M25";0,6;1,54938981670219;-0,94938981670219;0,94938981670219
77;"M251";1,6;1,36300128266029;0,236998717339705;0,236998717339705
97;"M289";2,5;1,29198462481654;1,20801537518346;1,20801537518346
100;"M291";0,6242874;1,18108777439694;-0,556800374396936;0,556800374396936
112;"M40";0,7;0,99684672997592;-0,29684672997592;0,29684672997592
113;"M45";1,6;1,14523339409261;0,45476660590739;0,45476660590739
123;"M81";1,3;0,943011325580105;0,356988674419895;0,356988674419895
126;"M9";1,1;0,87002435421899;0,22997564578101;0,22997564578101
