Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
1;M165;0.3082567671415301;0.43822636761676703;-0.12996960047523692
5;M137;0.2975409584662528;0.4508588616250471;-0.15331790315879434
11;M269;0.44492906582307185;0.3806499281019773;0.06427913772109456
12;M207;0.3545975427024643;0.5037031297604699;-0.14910558705800564
13;M10;0.3764462196227157;0.5047580736801036;-0.12831185405738793
19;M157;0.6175886197592448;0.5873313466615069;0.030257273097737958
27;M153;0.5013575900642258;0.48750926837983655;0.013848321684389209
37;M247;0.41707428863595003;0.41838040614800737;-0.0013061175120573365
41;M72;0.20327208466579993;0.4446577267785845;-0.24138564211278457
46;M193;0.341661201557916;0.3731144543593797;-0.03145325280146366
48;M241;0.5050525712222622;0.5446654585994536;-0.039612887377191375
54;M260;0.4289420167628884;0.45755354711558804;-0.028611530352699643
67;M117;0.2842162798987842;0.4715992422361628;-0.1873829623373786
70;M306;0.36889314880245394;0.35136686905810316;0.01752627974435078
71;M199;0.4186276139560551;0.5013518740938824;-0.0827242601378273
73;M280;0.5855600417396088;0.443656534653185;0.14190350708642385
81;M18;0.33594390328112167;0.4920088607369948;-0.15606495745587312
82;M203;0.4988039711257151;0.5531384485499734;-0.05433447742425829
84;M192;0.3655714172978172;0.4786176362386726;-0.11304621894085537
92;M204;0.41213228644990535;0.3868939502443274;0.02523833620557797
99;M100;0.3839359511345664;0.49985806971960517;-0.11592211858503876
105;M237;0.40775038714288336;0.42495728801809923;-0.01720690087521587
112;M264;0.6656977348612455;0.5514709319143586;0.11422680294688692
