Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;M271;367.817408617357;415.07498991029513;-47.25758129293814;47.25758129293814
3;M174;488.8478864768854;498.6933427275758;-9.845456250690404;9.845456250690404
15;M161;415.0414227508217;331.2159491247621;83.82547362605959;83.82547362605959
21;M296;292.99414465648766;261.0060419024806;31.98810275400706;31.98810275400706
22;M224;402.67568774223696;337.57812382518455;65.09756391705241;65.09756391705241
24;M144;1213.173185752518;1066.8863365232664;146.28684922925163;146.28684922925163
30;M88;454.8999170830625;922.5075108463685;-467.607593763306;467.607593763306
38;M91;1248.4687304032987;1057.5753954907157;190.893334912583;190.893334912583
52;M182;1304.2133261491772;1125.6426704200244;178.5706557291528;178.5706557291528
53;M229;315.31158323078;736.2640186803624;-420.95243544958237;420.95243544958237
61;M294;422.52476520825763;529.1280590396094;-106.60329383135178;106.60329383135178
72;M195;148.01538538036564;176.34550595867978;-28.330120578314137;28.330120578314137
75;M282;487.4567338025489;382.9250999527991;104.53163384974982;104.53163384974982
83;M262;288.45194477894046;335.11611888683865;-46.66417410789819;46.66417410789819
87;M150;526.4043891540211;721.2347342455452;-194.830345091524;194.830345091524
88;M201;278.2525932875111;402.5129868824537;-124.26039359494257;124.26039359494257
93;M217;350.0992929794691;444.88828378922057;-94.78899080975145;94.78899080975145
100;M197;221.92819765412867;492.0926409956162;-270.1644433414875;270.1644433414875
102;M272;414.55162579354675;741.3390158782776;-326.7873900847308;326.7873900847308
103;M298;242.51428657285481;304.6062164304003;-62.091929857545495;62.091929857545495
107;M97;206.21266886185902;852.3509068823217;-646.1382380204627;646.1382380204627
113;M276;1259.387380602302;726.3142821452988;533.0730984570033;533.0730984570033
