Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M165;2232.2001649671415;2283.12748137194;-50.9273164047986;50.9273164047986
5;M137;1803.4619076584663;1394.5040114586416;408.95789619982475;408.95789619982475
11;M269;1196.297935365823;854.2520029344937;342.0459324313292;342.0459324313292
12;M207;1647.3987753427025;1894.4867203962922;-247.0879450535897;247.0879450535897
13;M10;623.9327424196226;1249.7743727990269;-625.8416303794043;625.8416303794043
19;M157;2305.949480919759;1832.345342119581;473.60413880017813;473.60413880017813
27;M153;267.81441849006427;329.17543191714554;-61.361013427081275;61.361013427081275
37;M247;1463.2339220886358;2005.0147714475022;-541.7808493588664;541.7808493588664
41;M72;2285.0177273846657;1868.4505703957434;416.5671569889223;416.5671569889223
46;M193;1222.6648428015578;1878.2626169169325;-655.5977741153747;655.5977741153747
48;M241;1856.6963405712222;1914.5661360936851;-57.86979552246294;57.86979552246294
54;M260;1265.2757961167629;822.1930646169855;443.0827314997774;443.0827314997774
67;M117;747.0183892798988;691.3300668706413;55.68832240925747;55.68832240925747
70;M306;231.79406354880246;377.8993397800417;-146.10527623123926;146.10527623123926
71;M199;518.3305836139562;432.369249656674;85.96133395728214;85.96133395728214
73;M280;767.9859196417395;881.0599613607567;-113.07404171901715;113.07404171901715
81;M18;1799.623597803281;1644.0626547336058;155.5609430696752;155.5609430696752
82;M203;251.21028357112573;383.270141646216;-132.0598580750903;132.0598580750903
84;M192;198.7052048172978;322.971997377991;-124.26679256069318;124.26679256069318
92;M204;743.3044696864498;603.0128996507464;140.29157003570344;140.29157003570344
99;M100;724.4418900511345;1926.5684619967433;-1202.1265719456087;1202.1265719456087
105;M237;611.2629183871429;751.1656663784448;-139.9027479913019;139.9027479913019
112;M264;1673.4966797348611;1811.3680779424185;-137.87139820755738;137.87139820755738
