Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;M271;501.402708617357;483.4342815980089;17.9684270193481;17.9684270193481
3;M174;659.5467764768854;726.9871818108223;-67.44040533393695;67.44040533393695
15;M161;771.3047927508217;506.60404165306716;264.7007510977545;264.7007510977545
21;M296;421.17480465648765;370.67401242534606;50.50079223114159;50.50079223114159
22;M224;411.788557742237;390.97495011497006;20.813607627266947;20.813607627266947
24;M144;2448.1579557525183;1622.840385010748;825.3175707417704;825.3175707417704
30;M88;574.5290970830624;963.7889178744741;-389.2598207914117;389.2598207914117
38;M91;1412.7119304032985;1501.4568320358155;-88.74490163251699;88.74490163251699
52;M182;2089.874616149177;1775.3579281455907;314.5166880035865;314.5166880035865
53;M229;340.33986323078;778.8301898207818;-438.4903265900018;438.4903265900018
61;M294;671.7058352082576;675.0372610838787;-3.3314258756211075;3.3314258756211075
72;M195;258.99189538036563;297.3052244096233;-38.31332902925766;38.31332902925766
75;M282;645.351603802549;415.6643380553341;229.6872657472149;229.6872657472149
83;M262;590.8288047789405;611.4535134948259;-20.62470871588539;20.62470871588539
87;M150;789.3181191540212;1102.940889485312;-313.6227703312908;313.6227703312908
88;M201;317.6816432875111;562.2402901087182;-244.5586468212071;244.5586468212071
93;M217;558.0536729794691;699.3363586902487;-141.28268571077967;141.28268571077967
100;M197;299.38262765412867;687.962311918829;-388.5796842647003;388.5796842647003
102;M272;736.8156757935468;1132.6094421020985;-395.79376630855165;395.79376630855165
103;M298;474.88663657285485;467.1134661802678;7.773170392587076;7.773170392587076
107;M97;347.768888861859;1315.486378767979;-967.7174899061199;967.7174899061199
113;M276;1272.6647306023021;1347.8740300305008;-75.20929942819862;75.20929942819862
