Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;567.4800498650278;427.67950562174826;139.80054424327955
42;M198;380.36308171368285;323.89754028079244;56.465541432890404
47;M173;173.5078253936123;164.77341219737247;8.734413196239842
49;M170;628.9357034361828;967.9948698356513;-339.0591663994685
51;M120;512.8546732408397;746.825148572377;-233.97047533153727
55;M25;145.6636703099952;720.9815595576662;-575.317889247671
58;M121;126.52725690787624;374.59544854264334;-248.06819163476712
59;M141;160.0062333126343;314.3825160767889;-154.37628276415458
60;M285;368.0695597554513;437.7094589420424;-69.6398991865911
62;M104;198.63095814341023;339.89480398902685;-141.26384584561663
64;M176;946.0010480379339;999.2373297172437;-53.236281679309855
74;M188;605.2027856464365;637.9702962543195;-32.76751060788297
76;M209;473.65260821902507;537.3734062916744;-63.72079807264936
77;M9;503.20732087047065;873.7608150354168;-370.5534941649462
78;M243;387.20957700992653;504.44318168409865;-117.23360467417211
89;M238;367.1707947023979;417.2462103144533;-50.075415612055394
90;M166;484.64280513267437;529.1447599406839;-44.50195480800954
95;M175;469.6478160789185;460.11696623191096;9.530849847007516
97;M284;230.26114296120278;566.1731822998573;-335.91203933865455
98;M70;2171.232302610553;1257.615408175676;913.6168944348767
106;M305;368.12635404050855;486.94325718612663;-118.81690314561808
110;M283;389.40686925554087;420.76997458705495;-31.363105331514078
