Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
7;48;434.7528040002602;566.3460379061692;-131.59323390590896
33;35;338.2672302942058;373.9000462207555;-35.63281592654971
42;180;403.9315837907058;416.03642080507933;-12.104837014373516
47;43;634.5079632263622;548.298469069824;86.2094941565382
49;26;242.8777051759579;342.84982905632546;-99.97212388036755
51;176;468.5511205226887;320.4729270578607;148.07819346482796
55;95;495.5669118664182;523.8646834738535;-28.297771607435266
58;194;821.8317300904083;626.6679705179791;195.16375957242917
59;50;442.1067334284123;454.1764130190146;-12.069679590602277
60;181;526.1618276242513;418.3643744991778;107.79745312507345
62;77;456.65171588511623;485.4294419599926;-28.77772607487634
64;117;133.17768137930275;252.03133292892483;-118.85365154962207
76;52;115.84177880503005;295.3749476895693;-179.53316888453924
80;37;639.1364204756128;617.7236412988693;21.41277917674347
89;205;646.30293939256;809.5188498597931;-163.21591046723313
91;94;294.7860777740025;410.1463066439373;-115.36022886993482
92;9;344.1310588792049;459.43828600478446;-115.30722712557957
96;62;309.53218259461755;391.1485836942336;-81.61640109961604
99;18;307.9135142748116;380.26540739606344;-72.35189312125186
106;112;821.4221142458586;893.6311506589651;-72.20903641310656
112;22;289.78903953808725;356.41753884553964;-66.62849930745239
113;60;288.7414403062151;314.5030998119373;-25.761659505722207
116;40;725.3935840083394;520.7264854996973;204.66709850864208
121;187;810.3720212789494;777.80807096719;32.56395031175941
129;21;401.85421266826967;550.9475691924241;-149.09335652415444
131;111;520.7062536989887;519.2561933012839;1.4500603977047604
132;15;317.06950700691175;379.8582969321044;-62.788789925192646
