Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;28;11.345627524429664;10.384373;0.9612548132480239;0.9612548132480239
7;205;27.315445437750355;19.768126;7.547319903692738;7.547319903692738
8;219;26.92358989811909;23.438759;3.4848310480214337;3.4848310480214337
9;46;9.52776430137558;10.649301;-1.1215362738807677;1.1215362738807677
14;212;21.313641787468455;17.952875;3.360766650139354;3.360766650139354
17;213;21.213118664178598;16.473398;4.739720455560434;4.739720455560434
18;117;9.161432845300105;10.158132;-0.9966987541261645;0.9966987541261645
20;79;5.622593234651227;5.442542;0.18005115854038678;0.18005115854038678
26;26;8.780205320263656;9.477882;-0.6976770649902502;0.6976770649902502
28;178;29.441550197465183;26.12771;3.3138398550579566;3.3138398550579566
35;74;9.732248722784842;8.401447;1.3308014266422639;1.3308014266422639
36;175;16.8478233872545;14.58691;2.260913139451766;2.260913139451766
39;171;8.13227679342728;11.465442;-3.3331649103691063;3.3331649103691063
40;36;6.569006040541739;7.17544;-0.6064337940529878;0.6064337940529878
44;193;12.064091803821144;14.456464;-2.392372009960594;2.392372009960594
50;54;18.781365097292447;15.230373;3.5509917147240877;3.5509917147240877
66;208;18.930068361901988;17.839457;1.0906118036744488;1.0906118036744488
79;190;12.446080801814565;13.137286;-0.6912053844036965;0.6912053844036965
84;66;9.249859395604897;10.718176;-1.4683164924566263;1.4683164924566263
86;85;13.138909011848364;10.723842;2.415067344673071;2.415067344673071
92;53;9.515134106960906;12.271711;-2.756577242526399;2.756577242526399
95;22;11.234075157243069;14.218117;-2.984041603010837;2.984041603010837
104;57;17.218261519781706;16.350863;0.8673990167299479;0.8673990167299479
113;21;8.84900511226302;13.970958;-5.12195264377946;5.12195264377946
