Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;83;207.742419471741;221.4516;-13.709179649352762;13.709179649352762
3;63;118.71599153029737;186.05215;-67.33616301071825;67.33616301071825
15;190;223.47802081850568;259.3062;-35.828192560400566;35.828192560400566
21;173;236.5859842219027;241.41513;-4.829146393331683;4.829146393331683
22;12;174.92242219103397;208.69218;-33.769762257208214;33.769762257208214
24;91;314.87804569185414;260.114;54.76403201997914;54.76403201997914
30;44;354.0650790372365;240.70123;113.36384612708025;113.36384612708025
38;101;193.73155069708676;189.77629;3.9552598035320727;3.9552598035320727
53;42;274.53720328609995;302.11646;-27.579251792025048;27.579251792025048
61;77;210.13857476979263;166.94032;43.198251893816064;43.198251893816064
72;175;320.95541736536467;248.58513;72.37028858118498;72.37028858118498
75;52;9.52007886319698;154.16193;-144.64184740633428;144.64184740633428
83;74;165.22885242867244;207.24901;-42.0201557500385;42.0201557500385
87;89;193.36653094892318;284.00082;-90.63429302568619;90.63429302568619
88;205;132.29372801958812;163.50555;-31.211826179630634;31.211826179630634
93;14;324.65745163191406;320.0807;4.576763155351557;4.576763155351557
100;201;284.79327995160367;225.74983;59.04344779828335;59.04344779828335
103;66;223.07395465342782;155.94624;67.127711367295;67.127711367295
104;57;333.43862061294027;229.78249;103.6561346510262;103.6561346510262
107;219;94.19430755041702;194.33925;-100.14494110680954;100.14494110680954
108;61;186.1799154720611;156.29463;29.8852835140533;29.8852835140533
117;2;353.6307106747953;253.14397;100.48674399999061;100.48674399999061
119;188;272.6411981508452;261.11627;11.524926178188935;11.524926178188935
121;105;278.9411270027755;201.99872;76.94240874105674;76.94240874105674
122;174;235.74504268653544;204.94666;30.79838741309794;30.79838741309794
132;108;332.69657542736576;256.29584;76.40073802502201;76.40073802502201
