Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;M232;0.2999986173569883;0.23464227;0.06535635012981544;0.06535635012981544
3;M2;0.700006476885381;0.43641025;0.26359622860580945;0.26359622860580945
15;M70;0.49998275082167487;0.50588816;-0.005905413221751643;0.005905413221751643
21;M283;0.3265480564876892;0.302351;0.02419705856288451;0.02419705856288451
22;M137;0.2999977422369951;0.255733;0.04426472908391893;0.04426472908391893
24;M242;0.19998575251813788;0.2682479;-0.06826214987520318;0.06826214987520318
30;M173;0.09999708306250207;0.22463964;-0.12464255619588263;0.12464255619588263
38;M258;0.3999804032987612;0.31029537;0.08968503009739098;0.08968503009739098
53;M170;0.399993230779997;0.3865679;0.013425340135923503;0.013425340135923503
61;M224;0.29999520825762155;0.2851553;0.014839911931937955;0.014839911931937955
72;M74;0.30001538036566466;0.2622298;0.037785580141360464;0.037785580141360464
75;M165;0.6481234025489591;0.4456898;0.20243360514753084;0.20243360514753084
83;M290;0.40001477894044746;0.39733237;0.002682408659227975;0.002682408659227975
87;M69;0.300009154021177;0.22532366;0.07468549185934992;0.07468549185934992
88;M7;0.4000032875110966;0.44189203;-0.04188874034382284;0.04188874034382284
93;M199;0.37744887946906125;0.30330238;0.07414650200667416;0.07414650200667416
100;M31;0.3999976541286663;0.35889465;0.04110300796091115;0.04110300796091115
103;M273;0.4761842728548347;0.36941117;0.10677310237219922;0.10677310237219922
104;M186;0.37125837722730776;0.33267695;0.03858143011045595;0.03858143011045595
107;M182;0.5000188618590121;0.33496645;0.1650524109293704;0.1650524109293704
108;M247;0.40000174577812836;0.38083926;0.019162487345740054;0.019162487345740054
110;M197;0.21511805554084235;0.29479593;-0.07967787484474725;0.07967787484474725
117;M304;0.29999965288230296;0.21754089;0.08245876290389414;0.08245876290389414
119;M264;0.29201642822814516;0.29932928;-0.00731285262512632;0.00731285262512632
122;M225;0.29999090612545204;0.28932744;0.010663463479425428;0.010663463479425428
130;M268;0.33456026524345883;0.34852633;-0.013966063558649933;0.013966063558649933
