Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
7;M168;25.000015792128156;24.706106;0.29390960621507034;0.29390960621507034
10;M150;27.000005425600435;27.60133;-0.6013243778663622;0.6013243778663622
11;M182;33.999995365823075;32.639946;1.3600493819363564;1.3600493819363564
16;M273;43.99999437712471;42.081413;1.9185811080817388;1.9185811080817388
20;M37;20.999985876962988;21.4742;-0.4742134180809572;0.4742134180809572
23;M156;28.000000675282045;27.370636;0.6293646889539204;0.6293646889539204
25;M272;19.999994556172755;20.764915;-0.7649209101358387;0.7649209101358387
26;M38;14.000001109225897;22.398054;-8.398053013698908;8.398053013698908
31;M306;38.99999398293388;32.224266;6.775727930687786;6.775727930687786
43;M58;33.999998843517176;35.980293;-1.9802944304086054;1.9802944304086054
46;M201;36.999992801557916;37.758404;-0.7584109765182561;0.7584109765182561
47;M218;71.9999953936123;60.908558;11.091437501766592;11.091437501766592
61;M53;17.999995208257623;19.560461;-1.5604658360539005;1.5604658360539005
67;M48;18.999999279898784;19.200981;-0.20098186023793474;0.20098186023793474
69;M160;27.00000361636025;29.42276;-2.4227563934053755;2.4227563934053755
74;M236;29.00001564643656;31.081688;-2.081672280809535;2.081672280809535
76;M16;25.000008219025045;24.423048;0.5769601996158649;0.5769601996158649
80;M262;22.999980124310856;24.416258;-1.4162777339655115;1.4162777339655115
85;M95;21.999991915063973;21.822788;0.17720367653858204;0.17720367653858204
87;M222;38.00000915402118;30.965849;7.034160231291686;7.034160231291686
110;M79;33.99999925554084;36.642223;-2.6422241026134543;2.6422241026134543
115;M100;23.99999807639035;26.97048;-2.9704818888196094;2.9704818888196094
118;M265;30.999988313219625;32.61633;-1.6163408798956098;1.6163408798956098
121;M62;20.00000791031947;18.876238;1.1237700410567761;1.1237700410567761
125;M174;38.00000586857094;41.059303;-3.0592974151204686;3.0592974151204686
127;M196;75.99999009463674;62.151623;13.848367322419946;13.848367322419946
128;M241;30.999994337022702;33.50439;-2.504396379530032;2.504396379530032
133;M158;25.999989376962862;26.121504;-0.12151445299319263;0.12151445299319263
141;M252;38.000002274599346;30.742342;7.257660279360088;7.257660279360088
143;M278;33.999983925167655;35.68918;-1.6891945416292202;1.6891945416292202
144;M217;25.000001846338584;26.767952;-1.767950118993447;1.767950118993447
145;M258;38.00000259882794;36.958008;1.0419947863279404;1.0419947863279404
153;M302;38.99999319975279;38.755466;0.24452673857114604;0.24452673857114604
155;M122;18.000002930724733;20.08563;-2.085627486145384;2.085627486145384
159;M1;63.999988086965026;60.19108;3.8089099009298693;3.8089099009298693
160;M70;46.00000656553608;49.3768;-3.376793971573292;3.376793971573292
165;M253;25.00000963376129;24.485277;0.5147324578579706;0.5147324578579706
169;M234;23.99999754611884;26.783941;-2.783943722802057;2.783943722802057
176;M7;37.00000827183249;47.26034;-10.260333372454618;10.260333372454618
181;M128;20.000006256673476;23.624596;-3.6245893854163675;3.6245893854163675
197;M44;36.99999116142564;36.475014;0.5249774285154842;0.5249774285154842
202;M294;24.000005607845264;25.015493;-1.0154877850990722;1.0154877850990722
204;M12;29.000010538020522;32.995323;-3.9953126431318218;3.9953126431318218
205;M63;18.99998622330632;23.144855;-4.144869275961259;4.144869275961259
207;M172;36.00000515035267;33.38979;2.6102155690538424;2.6102155690538424
211;M134;21.000005708905107;19.508821;1.491184221478349;1.491184221478349
217;M141;40.99999227174786;42.53341;-1.5334168469044869;1.5334168469044869
232;M171;30.000002164585897;29.267153;0.7328493783310144;0.7328493783310144
234;M13;18.999993483996523;21.169931;-2.1699379277466413;2.1699379277466413
235;M60;26.000021439440893;31.958368;-5.958346861950709;5.958346861950709
238;M61;28.000001864543147;28.848955;-0.8489532898757979;0.8489532898757979
240;M110;21.00000852433335;22.435694;-1.4356852165113771;1.4356852165113771
255;M142;25.99998480630034;30.201004;-4.201019222019973;4.201019222019973
261;M271;31.999990730695284;32.790092;-0.7901017375664345;0.7901017375664345
265;M235;19.999997474318487;20.961441;-0.9614435657205753;0.9614435657205753
266;M189;35.99998752216818;34.70189;1.2980984840822458;1.2980984840822458
