Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;M145;0.5590700302985641;0.5244168;0.03465322598490439;0.03465322598490439
7;M29;0.539263992128155;0.50724024;0.03202375632264354;0.03202375632264354
8;M180;0.29418077434729156;0.4514541;-0.1572733286457199;0.1572733286457199
9;M301;0.7044822052561407;0.6394673;0.0650149062716131;0.0650149062716131
14;M250;0.6788561671975534;0.6365846;0.04227158725294278;0.04227158725294278
18;M155;0.39209494247332594;0.38714832;0.004946621798429696;0.004946621798429696
20;M154;0.41212457696298666;0.45551243;-0.04338785728116923;0.04338785728116923
25;M268;0.48413865617275476;0.5067952;-0.022656571354863653;0.022656571354863653
26;M177;0.47923260922589705;0.51066697;-0.0314343572123964;0.0314343572123964
28;M225;0.7606283569801835;0.6492908;0.111337556885579;0.111337556885579
35;M79;0.392879325449121;0.6477028;-0.2548234876993775;0.2548234876993775
39;M212;0.653020118139511;0.57963794;0.07338217344117726;0.07338217344117726
44;M251;0.6468224889630442;0.64834213;-0.0015196436053152018;0.0015196436053152018
50;M49;0.5309871695984464;0.5760535;-0.04506633057702969;0.04506633057702969
57;M48;0.4102015078247678;0.53491694;-0.12471542952645903;0.12471542952645903
69;M103;0.4749098163602505;0.62323856;-0.14832874717734718;0.14832874717734718
80;M263;0.601323324310854;0.61607;-0.0147466482042522;0.0147466482042522
85;M258;0.5694621150639712;0.6571656;-0.08770347188442362;0.08770347188442362
86;M38;0.5411665824295642;0.5706927;-0.029526135599458048;0.029526135599458048
91;M8;0.4806868707754935;0.58327127;-0.10258439425441374;0.10258439425441374
94;M45;0.332683623378534;0.43541482;-0.1027311975309661;0.1027311975309661
96;M162;0.49910026485051867;0.5009356;-0.0018353492585206355;0.0018353492585206355
101;M278;0.7292298462925795;0.6154708;0.1137590196667555;0.1137590196667555
