Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
6;M266;1731.2688676586306;2024.8059;-293.5370405444944;293.5370405444944
10;M40;582.2016454256004;521.0751;61.12657218341292;61.12657218341292
16;M178;1997.0798843771247;1074.5193;922.5605972677497;922.5605972677497
17;M253;614.1165298716887;481.235;132.88154452012623;132.88154452012623
23;M183;2843.864820675282;2306.647;537.2178480190319;537.2178480190319
29;M246;790.3229939936131;486.24286;304.0801351068943;304.0801351068943
31;M190;434.5171839829339;699.58527;-265.06808213034736;265.06808213034736
32;M164;894.1880085227818;614.66394;279.52406809309434;279.52406809309434
34;M239;310.36041942289074;370.05173;-59.69130787203113;59.69130787203113
36;M167;1206.9947577915634;818.93787;388.0568915806259;388.0568915806259
40;M84;1444.5820719686124;1514.1412;-69.55916338295015;69.55916338295015
43;M114;1296.7228388435171;1603.3541;-306.63128713304536;306.63128713304536
45;M287;679.7470852147801;544.70935;135.0377346288426;135.0377346288426
56;M31;981.4503693128013;1638.4568;-657.0064177965737;657.0064177965737
63;M146;192.28379893665024;308.43228;-116.14848255749038;116.14848255749038
65;M232;437.90516812525823;528.3465;-90.44132845677302;90.44132845677302
66;M304;551.2426635624004;554.24506;-3.0023925899433834;3.0023925899433834
68;M274;222.772600035329;354.99426;-132.2216626599835;132.2216626599835
79;M73;419.6843409176078;326.9295;92.75483652307656;92.75483652307656
104;M255;266.7335919772273;291.757;-25.023396548163305;25.023396548163305
108;M149;308.36994174577814;292.84518;15.52475741960626;15.52475741960626
109;M231;349.3477125755039;593.33826;-243.99054426043358;243.99054426043358
111;M142;67.64890081228785;306.68616;-239.03725641427465;239.03725641427465
