Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
5;M103;0.29999765846625276;0.5002041;-0.20020642783745818;0.20020642783745818
11;M153;0.49999536582307186;0.2885569;0.2114384622223791;0.2114384622223791
12;M45;0.2999953427024643;0.2882373;0.011758039207057203;0.011758039207057203
19;M6;0.09999091975924479;0.3154699;-0.2154789710736562;0.2154789710736562
20;M209;0.2999858769629866;0.2495066;0.0504792842124373;0.0504792842124373
27;M229;0.2999884900642258;0.2682546;0.03173388214834749;0.03173388214834749
28;M46;0.4000037569801835;0.28948236;0.11052140186238563;0.11052140186238563
32;M35;0.5000185227818451;0.4897594;0.010259137196060197;0.010259137196060197
37;M123;0.40000208863595005;0.30849442;0.09150766977646824;0.09150766977646824
41;M288;0.22144518466579993;0.29259366;-0.07114847330462853;0.07114847330462853
46;M155;0.39343110155791605;0.31631306;0.07711804342002238;0.07711804342002238
56;M9;0.30000931280119114;0.37216556;-0.07215624792115993;0.07215624792115993
57;M32;0.29999160782476775;0.33226073;-0.032269120057617506;0.032269120057617506
65;M296;0.20000812525822395;0.18033768;0.019670442891852796;0.019670442891852796
70;M192;0.39999354880245397;0.24541607;0.15457747381122777;0.15457747381122777
81;M176;0.36633150328112163;0.38760948;-0.02127797853040181;0.02127797853040181
82;M219;0.40000357112571516;0.19947125;0.20053232094928541;0.20053232094928541
85;M250;0.29999191506397105;0.2556675;0.04432440741550303;0.04432440741550303
94;M40;0.09999672337853403;0.31613752;-0.2161407990804961;0.2161407990804961
96;M145;0.09998536485051869;0.24647337;-0.1464880071320558;0.1464880071320558
98;M223;0.4000026105527218;0.42843556;-0.028432953488415902;0.028432953488415902
101;M203;0.3451974462925795;0.2677519;0.07744554395073683;0.07744554395073683
106;M198;0.4000040405085682;0.28088486;0.11911917856246224;0.11911917856246224
116;M190;0.30000301547342334;0.26980478;0.030198239758549072;0.030198239758549072
121;M246;0.30000791031947044;0.25863162;0.04137629348864463;0.04137629348864463
127;M272;0.19999009463674872;0.28650796;-0.08651786949746759;0.08651786949746759
