Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
33;M290;36.883784865027756;47.43603;-10.552246476524978;10.552246476524978
42;M198;58.21509971368281;35.787987;22.427112958311717;22.427112958311717
47;M173;20.86551839361229;19.89495;0.9705675269130722;0.9705675269130722
49;M170;76.80678643618289;129.27968;-52.47289190854367;52.47289190854367
51;M120;54.17839724083969;111.72278;-57.54438107947281;57.54438107947281
55;M25;33.62082130999523;124.64435;-91.02352683453603;91.02352683453603
58;M121;21.12239290787624;58.137753;-37.015359625082745;37.015359625082745
59;M141;21.328951312634313;55.46759;-34.13863901939693;34.13863901939693
60;M285;66.13911775545127;47.977932;18.161185779132907;18.161185779132907
62;M104;29.436499143410234;52.971085;-23.534585451316328;23.534585451316328
64;M176;137.02698703793374;133.23413;3.7928561785587362;3.7928561785587362
74;M188;96.09674964643655;57.72694;38.36980949140725;38.36980949140725
76;M209;38.71769121902504;63.111156;-24.393465244598005;24.393465244598005
77;M9;81.56071987047069;97.121056;-15.560335732556652;15.560335732556652
78;M243;71.87226200992649;61.072178;10.800084122963597;10.800084122963597
89;M238;55.909877702397964;62.20396;-6.294082716303208;6.294082716303208
90;M166;67.31803213267433;87.64728;-20.329245699356917;20.329245699356917
95;M175;43.06154707891847;37.808887;5.2526595972290195;5.2526595972290195
97;M284;36.66460896120277;66.15789;-29.493281358621452;29.493281358621452
98;M70;323.9435806105527;213.8821;110.06148527363865;110.06148527363865
106;M305;52.57112904050857;76.628334;-24.057205004901583;24.057205004901583
110;M283;51.75885125554084;65.72388;-13.96502569758416;13.96502569758416
