Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M165;1599.9953149671414;1500.0234;99.97187746714144;99.97187746714144
5;M137;1357.9414876584663;941.2154;416.72609459206;416.72609459206
11;M269;699.6067253658231;653.55774;46.04898610801058;46.04898610801058
12;M207;1107.8669153427024;1312.127;-204.26003778229756;204.26003778229756
13;M10;437.9492824196227;717.6915;-279.7422459006898;279.7422459006898
19;M157;1067.1368309197592;1061.5839;5.552968615071677;5.552968615071677
27;M153;148.60939849006422;179.74695;-31.137549752123277;31.137549752123277
37;M247;913.608202088636;839.0467;74.5615101941047;74.5615101941047
41;M72;1894.955317384666;1537.4772;357.47814453310343;357.47814453310343
46;M193;829.3348928015579;560.7294;268.6055226843704;268.6055226843704
48;M241;1058.6704505712223;1282.7299;-224.05940782721518;224.05940782721518
54;M260;771.8848261167628;769.13196;2.752868108950338;2.752868108950338
67;M117;568.5683192798988;473.71973;94.84859271739879;94.84859271739879
70;M306;154.42512354880245;281.13678;-126.7116562363538;126.7116562363538
71;M199;318.33146361395603;216.14322;102.1882446198154;102.1882446198154
73;M280;391.95016964173965;536.9717;-145.02151004576035;145.02151004576035
81;M18;1254.983237803281;1332.4796;-77.4963764545314;77.4963764545314
82;M203;143.47107357112571;309.81534;-166.3442645636399;166.3442645636399
84;M192;136.2325048172978;170.93419;-34.70168402547563;34.70168402547563
92;M204;457.6592996864499;286.1908;171.4685037880124;171.4685037880124
99;M100;499.4422900511346;865.77637;-366.3340771363654;366.3340771363654
105;M237;378.9454883871429;634.00397;-255.05847889801333;255.05847889801333
112;M264;628.3472997348613;861.1889;-232.84160407373247;232.84160407373247
