Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
6;M266;0.5129259586304306;0.5051643;0.007761633393156386;0.007761633393156386
10;M40;0.5811006256004358;0.5670601;0.014040512647249814;0.014040512647249814
16;M178;0.38147467712470756;0.38281092;-0.0013362433522058903;0.0013362433522058903
17;M253;0.45042737168879665;0.3705661;0.0798612718066708;0.0798612718066708
23;M183;0.5644870752820469;0.576116;-0.011628950165798568;0.011628950165798568
29;M246;0.6175652936131009;0.5637614;0.05380388051571927;0.05380388051571927
31;M190;0.2951497829338777;0.40119904;-0.1060492598632109;0.1060492598632109
32;M164;0.4422486227818451;0.481579;-0.03933038293638608;0.03933038293638608
34;M239;0.3872943228907105;0.43868783;-0.0513935082726959;0.0513935082726959
36;M167;0.48776289156350033;0.51807725;-0.030314362731848787;0.030314362731848787
40;M84;0.4307460686123587;0.42910433;0.0016417404568411231;0.0016417404568411231
43;M114;0.4454573435171761;0.41507533;0.03038201159083026;0.03038201159083026
45;M287;0.3285325147800963;0.35015815;-0.021625640184350703;0.021625640184350703
56;M31;0.30828791280119117;0.43908843;-0.1308005211797506;0.1308005211797506
63;M146;0.48577323665025995;0.39328364;0.09248960127237604;0.09248960127237604
65;M232;0.329209325258224;0.4073334;-0.07812407856753589;0.07812407856753589
66;M304;0.5321722624002857;0.48888332;0.04328894588340948;0.04328894588340948
68;M274;0.6126251353289789;0.4228699;0.18975524440071045;0.18975524440071045
79;M73;0.3879789176077654;0.40869123;-0.0207123098283003;0.0207123098283003
104;M255;0.46117827722730775;0.45650995;0.00466832945051332;0.00466832945051332
108;M149;0.35090654577812835;0.41662773;-0.06572118912139252;0.06572118912139252
109;M231;0.44574027550390727;0.42495814;0.020782135845933025;0.020782135845933025
111;M142;0.37034051228784703;0.47094482;-0.10060430954671717;0.10060430954671717
